Date,Time [EET/EEST],Forecast [KWh/h],Perc10 [KWh/h],Perc20 [KWh/h],Perc30 [KWh/h],Perc40 [KWh/h],Perc60 [KWh/h],Perc70 [KWh/h],Perc80 [KWh/h],Perc90 [KWh/h]
09-04-2025,0:00,0,0,0,0,0,0,0,0,0
09-04-2025,0:15,0,0,0,0,0,0,0,0,0
09-04-2025,0:30,0,0,0,0,0,0,0,0,0
09-04-2025,0:45,0,0,0,0,0,0,0,0,0
09-04-2025,1:00,0,0,0,0,0,0,0,0,0
09-04-2025,1:15,0,0,0,0,0,0,0,0,0
09-04-2025,1:30,0,0,0,0,0,0,0,0,0
09-04-2025,1:45,0,0,0,0,0,0,0,0,0
09-04-2025,2:00,0,0,0,0,0,0,0,0,0
09-04-2025,2:15,0,0,0,0,0,0,0,0,0
09-04-2025,2:30,0,0,0,0,0,0,0,0,0
09-04-2025,2:45,0,0,0,0,0,0,0,0,0
09-04-2025,3:00,0,0,0,0,0,0,0,0,0
09-04-2025,3:15,0,0,0,0,0,0,0,0,0
09-04-2025,3:30,0,0,0,0,0,0,0,0,0
09-04-2025,3:45,0,0,0,0,0,0,0,0,0
09-04-2025,4:00,0,0,0,0,0,0,0,0,0
09-04-2025,4:15,0,0,0,0,0,0,0,0,0
09-04-2025,4:30,0,0,0,0,0,0,0,0,0
09-04-2025,4:45,0,0,0,0,0,0,0,0,0
09-04-2025,5:00,0,0,0,0,0,0,0,0,0
09-04-2025,5:15,0,0,0,0,0,0,0,0,0
09-04-2025,5:30,0,0,0,0,0,0,0,0,0
09-04-2025,5:45,0,0,0,0,0,0,0,0,0
09-04-2025,6:00,0,0,0,0,0,0,0,0,0
09-04-2025,6:15,0,0,0,0,0,0,0,0,0
09-04-2025,6:30,0,0,0,0,0,0,0,0,0
09-04-2025,6:45,9,6,7,8,8,10,12,13,15
09-04-2025,7:00,137,99,109,118,128,148,160,171,182
09-04-2025,7:15,353,253,278,303,328,379,405,431,458
09-04-2025,7:30,643,464,509,554,598,688,734,779,825
09-04-2025,7:45,1024,754,822,889,956,1092,1160,1228,1296
09-04-2025,8:00,1522,1151,1244,1337,1429,1615,1708,1801,1894
09-04-2025,8:15,2161,1678,1799,1920,2040,2282,2403,2523,2644
09-04-2025,8:30,2881,2275,2426,2578,2730,3033,3184,3336,3487
09-04-2025,8:45,3606,2864,3049,3235,3420,3791,3976,4161,4346
09-04-2025,9:00,4284,3393,3616,3839,4061,4506,4729,4951,5173
09-04-2025,9:15,4959,3901,4165,4430,4694,5223,5488,5752,6016
09-04-2025,9:30,5620,4385,4694,5003,5311,5929,6237,6545,6854
09-04-2025,9:45,6233,4826,5178,5530,5881,6585,6937,7287,7639
09-04-2025,10:00,6776,5213,5604,5995,6385,7167,7558,7949,8340
09-04-2025,10:15,7269,5555,5984,6413,6841,7698,8127,8555,8983
09-04-2025,10:30,7706,5850,6314,6779,7242,8170,8634,9098,9562
09-04-2025,10:45,8070,6086,6582,7078,7574,8566,9062,9558,10054
09-04-2025,11:00,8347,6258,6780,7303,7825,8870,9392,9915,10437
09-04-2025,11:15,8541,6366,6915,7458,7999,9083,9624,10167,10708
09-04-2025,11:30,8660,6366,6954,7543,8102,9218,9777,10335,10893
09-04-2025,11:45,8713,6366,6954,7543,8131,9290,9867,10444,11020
09-04-2025,12:00,8698,6283,6886,7491,8094,9301,9896,10484,11072
09-04-2025,12:15,8597,6031,6672,7314,7956,9239,9881,10484,11072
09-04-2025,12:30,8438,5716,6397,7077,7758,9118,9799,10479,11072
09-04-2025,12:45,8258,5426,6134,6842,7550,8966,9674,10382,11072
09-04-2025,13:00,8086,5232,5946,6659,7373,8800,9514,10227,10941
09-04-2025,13:15,7909,5116,5814,6512,7210,8607,9305,10003,10701
09-04-2025,13:30,7717,5032,5704,6375,7045,8388,9059,9730,10401
09-04-2025,13:45,7508,4941,5583,6225,6866,8150,8791,9433,10074
09-04-2025,14:00,7282,4815,5432,6049,6665,7900,8516,9133,9749
09-04-2025,14:15,7042,4674,5266,5858,6449,7634,8226,8818,9410
09-04-2025,14:30,6784,4517,5084,5651,6217,7351,7917,8484,9051
09-04-2025,14:45,6504,4333,4876,5419,5961,7047,7590,8133,8676
09-04-2025,15:00,6198,4110,4632,5154,5676,6721,7243,7766,8288
09-04-2025,15:15,5865,3842,4348,4854,5359,6371,6877,7383,7889
09-04-2025,15:30,5511,3550,4041,4531,5021,6002,6492,6982,7472
09-04-2025,15:45,5145,3258,3730,4202,4674,5617,6088,6561,7032
09-04-2025,16:00,4772,2984,3431,3878,4326,5220,5667,6114,6561
09-04-2025,16:15,4388,2719,3137,3553,3971,4806,5223,5641,6058
09-04-2025,16:30,3994,2457,2842,3226,3610,4379,4763,5147,5532
09-04-2025,16:45,3595,2198,2547,2896,3246,3944,4294,4643,4993
09-04-2025,17:00,3190,1938,2251,2564,2877,3503,3817,4130,4443
09-04-2025,17:15,2773,1675,1950,2224,2499,3048,3323,3597,3871
09-04-2025,17:30,2354,1416,1650,1885,2119,2588,2823,3057,3292
09-04-2025,17:45,1947,1166,1361,1557,1752,2142,2338,2532,2727
09-04-2025,18:00,1556,927,1084,1242,1399,1713,1871,2028,2185
09-04-2025,18:15,1161,687,806,925,1043,1280,1399,1517,1635
09-04-2025,18:30,788,462,543,626,707,869,951,1032,1113
09-04-2025,18:45,474,274,324,375,425,524,574,624,674
09-04-2025,19:00,255,143,171,199,227,282,310,337,365
09-04-2025,19:15,127,69,83,98,112,141,155,169,184
09-04-2025,19:30,59,32,39,46,53,66,73,80,87
09-04-2025,19:45,19,11,13,15,17,21,24,26,28
09-04-2025,20:00,0,0,0,0,0,0,0,0,0
09-04-2025,20:15,0,0,0,0,0,0,0,0,0
09-04-2025,20:30,0,0,0,0,0,0,0,0,0
09-04-2025,20:45,0,0,0,0,0,0,0,0,0
09-04-2025,21:00,0,0,0,0,0,0,0,0,0
09-04-2025,21:15,0,0,0,0,0,0,0,0,0
09-04-2025,21:30,0,0,0,0,0,0,0,0,0
09-04-2025,21:45,0,0,0,0,0,0,0,0,0
09-04-2025,22:00,0,0,0,0,0,0,0,0,0
09-04-2025,22:15,0,0,0,0,0,0,0,0,0
09-04-2025,22:30,0,0,0,0,0,0,0,0,0
09-04-2025,22:45,0,0,0,0,0,0,0,0,0
09-04-2025,23:00,0,0,0,0,0,0,0,0,0
09-04-2025,23:15,0,0,0,0,0,0,0,0,0
09-04-2025,23:30,0,0,0,0,0,0,0,0,0
09-04-2025,23:45,0,0,0,0,0,0,0,0,0
10-04-2025,0:00,0,0,0,0,0,0,0,0,0
10-04-2025,0:15,0,0,0,0,0,0,0,0,0
10-04-2025,0:30,0,0,0,0,0,0,0,0,0
10-04-2025,0:45,0,0,0,0,0,0,0,0,0
10-04-2025,1:00,0,0,0,0,0,0,0,0,0
10-04-2025,1:15,0,0,0,0,0,0,0,0,0
10-04-2025,1:30,0,0,0,0,0,0,0,0,0
10-04-2025,1:45,0,0,0,0,0,0,0,0,0
10-04-2025,2:00,0,0,0,0,0,0,0,0,0
10-04-2025,2:15,0,0,0,0,0,0,0,0,0
10-04-2025,2:30,0,0,0,0,0,0,0,0,0
10-04-2025,2:45,0,0,0,0,0,0,0,0,0
10-04-2025,3:00,0,0,0,0,0,0,0,0,0
10-04-2025,3:15,0,0,0,0,0,0,0,0,0
10-04-2025,3:30,0,0,0,0,0,0,0,0,0
10-04-2025,3:45,0,0,0,0,0,0,0,0,0
10-04-2025,4:00,0,0,0,0,0,0,0,0,0
10-04-2025,4:15,0,0,0,0,0,0,0,0,0
10-04-2025,4:30,0,0,0,0,0,0,0,0,0
10-04-2025,4:45,0,0,0,0,0,0,0,0,0
10-04-2025,5:00,0,0,0,0,0,0,0,0,0
10-04-2025,5:15,0,0,0,0,0,0,0,0,0
10-04-2025,5:30,0,0,0,0,0,0,0,0,0
10-04-2025,5:45,0,0,0,0,0,0,0,0,0
10-04-2025,6:00,0,0,0,0,0,0,0,0,0
10-04-2025,6:15,0,0,0,0,0,0,0,0,0
10-04-2025,6:30,0,0,0,0,0,0,0,0,0
10-04-2025,6:45,3,0,0,1,2,3,3,3,3
10-04-2025,7:00,51,25,32,38,45,53,56,58,60
10-04-2025,7:15,124,81,92,103,114,132,140,148,155
10-04-2025,7:30,230,162,179,196,213,245,261,276,291
10-04-2025,7:45,388,280,307,334,361,415,442,468,495
10-04-2025,8:00,624,452,495,538,581,668,711,755,798
10-04-2025,8:15,953,691,757,822,887,1019,1084,1150,1215
10-04-2025,8:30,1328,962,1054,1145,1236,1420,1511,1602,1694
10-04-2025,8:45,1693,1217,1336,1455,1574,1812,1932,2050,2169
10-04-2025,9:00,2007,1420,1567,1714,1860,2154,2301,2447,2595
10-04-2025,9:15,2295,1588,1765,1942,2118,2471,2648,2824,3001
10-04-2025,9:30,2562,1733,1940,2148,2355,2769,2976,3183,3390
10-04-2025,9:45,2805,1861,2097,2334,2570,3041,3277,3513,3749
10-04-2025,10:00,3022,1977,2238,2500,2761,3283,3544,3805,4066
10-04-2025,10:15,3213,2080,2363,2647,2930,3497,3780,4063,4346
10-04-2025,10:30,3380,2167,2470,2774,3077,3684,3987,4290,4593
10-04-2025,10:45,3521,2233,2555,2877,3199,3843,4165,4486,4808
10-04-2025,11:00,3633,2273,2613,2954,3293,3974,4314,4653,4994
10-04-2025,11:15,3716,2277,2637,2997,3356,4076,4436,4795,5155
10-04-2025,11:30,3773,2265,2642,3020,3396,4151,4528,4905,5282
10-04-2025,11:45,3812,2262,2650,3038,3424,4199,4587,4973,5361
10-04-2025,12:00,3826,2294,2680,3065,3450,4215,4604,4991,5376
10-04-2025,12:15,3826,2363,2732,3102,3462,4211,4581,4950,5320
10-04-2025,12:30,3826,2440,2787,3135,3462,4176,4524,4871,5219
10-04-2025,12:45,3800,2495,2821,3144,3462,4126,4453,4779,5105
10-04-2025,13:00,3753,2507,2819,3131,3442,4064,4376,4687,4998
10-04-2025,13:15,3683,2498,2794,3091,3387,3979,4276,4572,4868
10-04-2025,13:30,3598,2458,2743,3028,3313,3883,4168,4453,4738
10-04-2025,13:45,3508,2371,2655,2939,3223,3792,4076,4360,4645
10-04-2025,14:00,3419,2210,2513,2815,3117,3721,4023,4326,4628
10-04-2025,14:15,3330,1956,2300,2643,2986,3673,4016,4360,4703
10-04-2025,14:30,3236,1663,2057,2450,2843,3629,4022,4415,4808
10-04-2025,14:45,3136,1404,1837,2271,2703,3569,4002,4435,4868
10-04-2025,15:00,3026,1239,1686,2133,2579,3473,3921,4368,4815
10-04-2025,15:15,2905,1157,1594,2032,2468,3344,3782,4221,4659
10-04-2025,15:30,2779,1113,1529,1946,2362,3197,3617,4035,4454
10-04-2025,15:45,2653,1065,1463,1860,2256,3053,3454,3854,4254
10-04-2025,16:00,2536,979,1368,1758,2147,2929,3323,3716,4109
10-04-2025,16:15,2427,858,1251,1643,2035,2824,3222,3619,4016
10-04-2025,16:30,2319,732,1129,1526,1923,2722,3125,3527,3929
10-04-2025,16:45,2204,630,1023,1417,1811,2604,3005,3404,3804
10-04-2025,17:00,2079,578,953,1329,1704,2460,2842,3223,3605
10-04-2025,17:15,1953,582,925,1268,1611,2302,2651,2999,3348
10-04-2025,17:30,1815,607,909,1211,1514,2123,2430,2737,3044
10-04-2025,17:45,1649,614,873,1131,1390,1911,2175,2438,2700
10-04-2025,18:00,1429,568,784,999,1214,1648,1867,2086,2304
10-04-2025,18:15,1143,474,642,809,976,1312,1482,1652,1821
10-04-2025,18:30,833,360,479,597,715,953,1073,1192,1312
10-04-2025,18:45,556,253,329,405,481,633,709,785,862
10-04-2025,19:00,354,173,218,264,309,400,445,490,536
10-04-2025,19:15,210,109,134,159,185,235,261,286,311
10-04-2025,19:30,105,56,68,81,93,118,130,143,155
10-04-2025,19:45,30,15,19,23,27,34,38,41,45
10-04-2025,20:00,0,0,0,0,0,0,0,0,0
10-04-2025,20:15,0,0,0,0,0,0,0,0,0
10-04-2025,20:30,0,0,0,0,0,0,0,0,0
10-04-2025,20:45,0,0,0,0,0,0,0,0,0
10-04-2025,21:00,0,0,0,0,0,0,0,0,0
10-04-2025,21:15,0,0,0,0,0,0,0,0,0
10-04-2025,21:30,0,0,0,0,0,0,0,0,0
10-04-2025,21:45,0,0,0,0,0,0,0,0,0
10-04-2025,22:00,0,0,0,0,0,0,0,0,0
10-04-2025,22:15,0,0,0,0,0,0,0,0,0
10-04-2025,22:30,0,0,0,0,0,0,0,0,0
10-04-2025,22:45,0,0,0,0,0,0,0,0,0
10-04-2025,23:00,0,0,0,0,0,0,0,0,0
10-04-2025,23:15,0,0,0,0,0,0,0,0,0
10-04-2025,23:30,0,0,0,0,0,0,0,0,0
10-04-2025,23:45,0,0,0,0,0,0,0,0,0
11-04-2025,0:00,0,0,0,0,0,0,0,0,0
11-04-2025,0:15,0,0,0,0,0,0,0,0,0
11-04-2025,0:30,0,0,0,0,0,0,0,0,0
11-04-2025,0:45,0,0,0,0,0,0,0,0,0
11-04-2025,1:00,0,0,0,0,0,0,0,0,0
11-04-2025,1:15,0,0,0,0,0,0,0,0,0
11-04-2025,1:30,0,0,0,0,0,0,0,0,0
11-04-2025,1:45,0,0,0,0,0,0,0,0,0
11-04-2025,2:00,0,0,0,0,0,0,0,0,0
11-04-2025,2:15,0,0,0,0,0,0,0,0,0
11-04-2025,2:30,0,0,0,0,0,0,0,0,0
11-04-2025,2:45,0,0,0,0,0,0,0,0,0
11-04-2025,3:00,0,0,0,0,0,0,0,0,0
11-04-2025,3:15,0,0,0,0,0,0,0,0,0
11-04-2025,3:30,0,0,0,0,0,0,0,0,0
11-04-2025,3:45,0,0,0,0,0,0,0,0,0
11-04-2025,4:00,0,0,0,0,0,0,0,0,0
11-04-2025,4:15,0,0,0,0,0,0,0,0,0
11-04-2025,4:30,0,0,0,0,0,0,0,0,0
11-04-2025,4:45,0,0,0,0,0,0,0,0,0
11-04-2025,5:00,0,0,0,0,0,0,0,0,0
11-04-2025,5:15,0,0,0,0,0,0,0,0,0
11-04-2025,5:30,0,0,0,0,0,0,0,0,0
11-04-2025,5:45,0,0,0,0,0,0,0,0,0
11-04-2025,6:00,0,0,0,0,0,0,0,0,0
11-04-2025,6:15,0,0,0,0,0,0,0,0,0
11-04-2025,6:30,0,0,0,0,0,0,0,0,0
11-04-2025,6:45,12,6,8,9,11,14,16,17,19
11-04-2025,7:00,102,39,55,70,87,119,135,152,169
11-04-2025,7:15,244,87,126,166,205,286,328,370,412
11-04-2025,7:30,431,152,222,292,361,505,579,653,727
11-04-2025,7:45,662,244,348,453,558,774,884,996,1106
11-04-2025,8:00,946,373,516,660,803,1098,1249,1400,1551
11-04-2025,8:15,1296,549,736,923,1110,1493,1690,1886,2082
11-04-2025,8:30,1685,747,982,1216,1451,1932,2177,2423,2669
11-04-2025,8:45,2075,936,1221,1506,1790,2373,2671,2969,3267
11-04-2025,9:00,2440,1097,1433,1769,2105,2792,3145,3496,3848
11-04-2025,9:15,2805,1251,1639,2028,2417,3214,3622,4030,4438
11-04-2025,9:30,3161,1386,1830,2274,2717,3628,4095,4562,5028
11-04-2025,9:45,3485,1481,1982,2484,2984,4013,4542,5070,5599
11-04-2025,10:00,3763,1510,2077,2640,3201,4357,4952,5546,6140
11-04-2025,10:15,4006,1488,2085,2748,3377,4673,5340,6007,6673
11-04-2025,10:30,4214,1421,2085,2818,3516,4954,5695,6436,7177
11-04-2025,10:45,4377,1339,2085,2858,3618,5187,5997,6807,7617
11-04-2025,11:00,4490,1256,2064,2871,3657,5360,6230,7100,7970
11-04-2025,11:15,4541,1154,2003,2852,3657,5476,6402,7328,8254
11-04-2025,11:30,4541,1045,1925,2806,3657,5542,6517,7492,8466
11-04-2025,11:45,4541,948,1850,2752,3653,5563,6575,7585,8595
11-04-2025,12:00,4516,883,1791,2700,3607,5541,6567,7593,8619
